log_id	receipt_id	date	start_time	end_time	duration_min	customer_name	service_name	price	staff_phone	staff_id	staff_name	role_in_tour	commission_pct	commission_amount	tip_amount	total_earned	payment_method	created_at
HD082301_S1	HD082301	2026-08-23	09:30	10:15	45	Chị Mai Lan	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	20.000 đ	6.400 đ	Chuyển khoản	2026/08/23 - 10:15
HD082302_S1	HD082302	2026-08-23	11:15	12:15	60	Anh Nam	Combo 2	99.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	19.800 đ	50.000 đ	19.800 đ	Chuyển khoản	2026/08/23 - 12:15
HD082303_S1	HD082303	2026-08-23	14:00	15:30	90	Chị Hoàng Yến	Combo 4	199.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	9.950 đ	50.000 đ	9.950 đ	Chuyển khoản	2026/08/23 - 15:30
HD082303_S2	HD082303	2026-08-23	14:00	15:30	90	Chị Hoàng Yến	Combo 4	199.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	19.900 đ	50.000 đ	19.900 đ	Chuyển khoản	2026/08/23 - 15:30
HD082401_S1	HD082401	2026-08-24	10:00	10:45	45	Chị Bích Trâm	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Tiền mặt	2026/08/24 - 10:45
HD082402_S1	HD082402	2026-08-24	14:30	15:45	75	Chị Kim Ngân	Combo 3	149.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	29.800 đ	50.000 đ	29.800 đ	Chuyển khoản	2026/08/24 - 15:45
HD082403_S1	HD082403	2026-08-24	16:45	17:45	60	Anh Tuấn Anh	Combo 2	99.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	9.900 đ	20.000 đ	9.900 đ	Chuyển khoản	2026/08/24 - 17:45
HD082501_S1	HD082501	2026-08-25	09:45	10:45	60	Chị Thảo My	Combo 2	99.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	19.800 đ	0 đ	19.800 đ	Chuyển khoản	2026/08/25 - 10:45
HD082502_S1	HD082502	2026-08-25	13:30	15:00	90	Chị Cẩm Tiên	Combo 4	199.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	9.950 đ	30.000 đ	9.950 đ	Chuyển khoản	2026/08/25 - 15:00
HD082502_S2	HD082502	2026-08-25	13:30	15:00	90	Chị Cẩm Tiên	Combo 4	199.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	19.900 đ	30.000 đ	19.900 đ	Chuyển khoản	2026/08/25 - 15:00
HD082503_S1	HD082503	2026-08-25	17:00	17:45	45	Chị Mai Lan	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	50.000 đ	6.400 đ	Tiền mặt	2026/08/25 - 17:45
HD082601_S1	HD082601	2026-08-26	10:15	11:00	45	Anh Quang Huy	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	12.800 đ	20.000 đ	12.800 đ	Chuyển khoản	2026/08/26 - 11:00
HD082602_S1	HD082602	2026-08-26	15:00	16:15	75	Chị Phương Linh	Combo 3	149.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	14.900 đ	50.000 đ	14.900 đ	Chuyển khoản	2026/08/26 - 16:15
HD082701_S1	HD082701	2026-08-27	09:00	10:00	60	Chị Ngọc Diệp	Combo 2	99.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	19.800 đ	30.000 đ	19.800 đ	Tiền mặt	2026/08/27 - 10:00
HD082702_S1	HD082702	2026-08-27	14:15	15:45	90	Chị Ánh Tuyết	Combo 4	199.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	9.950 đ	50.000 đ	9.950 đ	Chuyển khoản	2026/08/27 - 15:45
HD082702_S2	HD082702	2026-08-27	14:15	15:45	90	Chị Ánh Tuyết	Combo 4	199.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	19.900 đ	50.000 đ	19.900 đ	Chuyển khoản	2026/08/27 - 15:45
